ID Manually,Name,A1,A2,A3,A4,A5,A6,A7,A8,A9a-K,A9a-T,A9a-A,A9b-K,A9b-T,A9b-A,A9c-K,A9c-T,A9c-A,B1,B2-1,B2-2,B2-3,B2-4,B2-5,B2-6,B2-7,B2-8,B2-9,B3,B4a,B4b,Ca-1,Ca-2,Ca-3,Cb-1,Cb-2,Cb-3,Cb-4,Cb-5,Cb-6,Cb-7,Cb-8,D1,D2-1,D2-2,D2-3,D2-4,D2-5,D2-6,D2-7,D3-1,D3-2,D3-3,D3-4,D3-5,D3-6,D3-7,D3-8,D3-9,D3-10,D3-11,D3-12,D3-13,D3-14,D4a,D4b,D4c,D4d,D4e,D4f,D4g,D4h,D5-1,D5-2,D5-3,D5-4,D5-5,D5-6,D5-7,D5-8,D5-9,D5-10,D5-11,D5-12,D5-13,D5-14,D6a-1,D6a-2,D6a-3,D6a-4,D6a-5,D6b-1,D6b-2,D6b-3,D6b-4,D6b-5,D6b-6,D6b-7,E1,E2,E3,E4,E5,DateR,M Group,B3-12 Text,B4a-7 Text,B4b-7 Text
1,,21,Male,Erbil,9,1,1,8,5,8,,,5,,,7,,,2,2,99,3,99,99,1,2,3,2,1,2,5,5,5,5,5,10,5,10,8,8,9,10,3,7,6,10,7,5,0,10,4,7,5,5,2,2,0,1,3,2,4,0,2,4,2,2,2,2,2,2,2,2,3,,,4,5,,,2,,,,1,,,4,1,2,1,2,2,3,4,3,3,4,3,1,4,1,1,3,04/18/17,,,,
2,,,Male,Karkuk,1,1,2,1,4,10,10,10,5,5,5,5,5,5,3,2,2,2,4,2,4,2,2,2,5,4,3,10,0,0,5,5,5,10,5,5,10,10,1,5,5,5,5,5,5,10,2,2,2,2,2,2,1,3,5,0,0,0,3,5,2,2,2,2,2,2,2,2,2,5,,,1,3,4,,,,,,,,3,4,3,3,2,3,3,3,3,2,4,3,1,2,1,9,1,04/18/17,,,,
4,,19,Female,Karkuk,1,1,3,4,2,0,10,0,0,10,0,3,10,4,1,1,1,1,1,1,2,1,1,1,9,2,4,10,0,0,0,10,5,10,8,5,10,10,2,10,10,10,8,0,0,0,0,0,0,10,0,10,10,0,7,0,10,7,10,10,1,1,1,,1,1,1,1,1,,,,2,3,4,,,,,5,,,4,5,5,3,4,5,5,4,5,3,5,5,2,2,1,1,1,04/18/17,,,,
5,,23,Male,Karkuk,1,5,1,5,3,9,8,8,8,7,7,8,7,7,1,1,1,1,1,1,1,1,1,1,9,6,6,7,10,5,0,10,10,10,10,10,10,10,2,4,5,5,5,5,5,5,0,0,0,5,1,0,0,4,5,0,0,0,0,3,2,2,2,2,1,2,2,1,3,,5,,,2,1,4,,,,,,,2,5,3,2,5,1,4,3,2,2,3,3,1,2,1,3,1,04/18/17,,,,
6,,23,Male,Karkuk,1,9,9,1,5,10,,,10,10,10,10,10,10,2,2,2,2,4,99,99,99,99,99,5,6,5,10,0,0,0,0,5,10,10,0,10,10,2,0,99,0,,0,0,10,0,0,0,99,0,0,0,10,10,99,99,0,0,0,2,2,2,2,2,2,2,2,1,,4,,2,,5,,3,,,,,,1,5,4,2,4,1,2,99,2,4,4,4,9,9,1,9,9,04/18/17,,,,
7,,24,Male,Karkuk,1,1,2,1,5,7,7,7,5,5,5,5,5,5,3,3,4,4,4,2,3,4,4,3,6,4,5,5,10,5,5,10,10,10,10,10,10,10,2,10,10,7,5,4,5,8,6,6,5,7,6,3,3,8,9,0,2,3,9,9,2,2,2,2,2,2,2,2,1,,,,2,3,4,,,,,,5,,4,4,5,4,3,2,99,99,2,2,4,2,9,9,3,9,9,04/18/17,,,,
8,,23,Female,Karkuk,1,1,3,4,2,10,10,10,5,10,5,4,10,4,1,1,2,1,1,1,3,1,1,1,9,2,6,10,0,0,5,10,5,10,7,6,10,10,2,5,7,8,9,0,10,10,0,0,2,0,0,2,0,5,7,2,4,0,7,0,2,2,2,2,1,1,1,2,4,5,6,,1,3,2,,,,,,8,,5,1,1,3,5,4,5,2,3,3,5,2,1,9,9,2,3,04/18/17,,,,
9,,23,Male,Erbil,4,1,1,5,3,,0,0,7,0,2,7,0,1,2,2,5,1,5,5,3,1,4,1,12,7,7,0,10,0,0,10,10,10,0,0,5,0,4,10,10,8,10,5,10,10,10,0,10,0,0,0,0,0,0,0,5,0,2,5,2,1,1,2,1,1,2,1,3,,4,5,1,2,,,,,,,,,2,5,1,4,3,5,5,1,3,4,4,4,1,3,3,3,2,04/18/17,,,,
10,,22,Female,Karkuk,1,9,2,1,5,8,4,8,9,5,9,8,3,8,1,2,4,4,2,2,3,3,3,2,5,5,6,10,0,0,2,5,5,5,10,3,10,10,2,9,9,7,7,7,3,10,5,5,5,10,5,0,0,10,10,0,0,0,0,0,2,1,2,2,2,2,1,2,3,,,,2,1,4,,5,,,,,,3,4,2,2,4,4,4,5,5,3,4,4,9,,1,9,3,04/18/17,,,,
11,,28,Female,Karkuk,1,1,3,4,2,,10,,,10,,0,10,5,1,2,1,1,1,1,2,1,1,1,2,2,4,10,0,0,5,10,5,10,8,5,10,10,4,10,10,9,10,0,10,10,0,0,0,0,0,3,0,0,0,0,5,0,5,0,2,2,2,2,1,1,1,2,4,5,6,7,1,3,2,,,,,,8,,5,1,1,4,5,5,5,3,3,3,5,5,2,9,1,2,3,04/18/17,,,,
12,,26,Male,Karkuk,1,2,1,2,5,9,9,9,8,5,5,6,5,5,1,2,2,2,2,1,1,1,1,1,12,6,3,0,0,10,0,10,5,10,10,5,10,0,3,0,0,10,6,0,10,10,0,0,0,0,5,0,0,0,0,0,0,0,4,0,2,2,2,2,2,2,2,2,1,3,2,,,,,,,4,,5,,,1,1,1,1,3,1,1,1,1,1,3,3,2,4,1,1,1,04/18/17,,,,
13,,25,Female,Basrah,1,1,2,1,5,10,10,10,10,10,10,,,10,9,,,,,,,5,,,10,1,6,10,,,0,2,10,10,10,10,10,10,1,0,0,3,0,10,6,10,10,7,5,0,1,0,5,7,10,0,0,0,3,8,2,2,2,2,2,2,2,2,1,,4,,,2,3,,,5,,,,,2,2,4,99,99,2,2,99,3,4,4,3,1,1,9,2,9,04/18/17,,,,
14,,20,Male,Karkuk,1,5,3,4,5,0,10,0,0,10,0,0,10,0,3,1,1,1,1,1,1,1,1,1,1,2,6,10,3,0,0,3,10,10,10,10,10,10,4,10,10,10,10,7,9,8,0,0,0,6,0,8,5,3,6,2,0,0,0,5,1,1,1,1,1,1,1,9,5,,,1,2,,3,,4,,,,,,2,2,2,3,2,4,5,4,4,3,3,1,4,1,1,2,1,04/18/17,,,,
15,,22,Male,Karkuk,1,1,1,5,5,10,5,10,10,0,0,10,0,5,3,4,5,5,5,3,1,1,5,1,1,2,6,0,0,10,0,10,10,10,10,10,10,0,1,0,0,0,10,10,99,10,10,10,5,0,5,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,2,1,1,,,5,2,4,3,,,,,,,,1,3,3,3,1,1,3,5,1,2,4,5,9,3,3,1,1,04/18/17,,,,
16,,25,Male,Karkuk,1,1,2,1,4,10,10,10,5,5,5,5,5,5,2,,,,,,,,,,6,2,6,10,5,0,5,5,10,10,10,10,10,10,4,0,0,10,10,10,10,10,0,99,99,99,,0,0,99,99,0,0,99,99,99,2,1,2,2,1,1,2,2,,4,,,1,5,3,,2,,,,,,3,2,2,4,2,2,2,4,4,3,4,4,9,9,3,1,1,04/18/17,,,,
